codlogradouro;nome_logradouro_concatenado;nome_oficial_logradouro;nome_logradouro_resumido;cod_indica_pavimentacao;desc_indica_pavimentacao;indica_corredor_transporte;indica_perimetral;codbairro;nomeBairro
78883;5TR CORREGO DA BICA;5ª Travessa Córrego da Bica;5Tr Córrego da Bica;N;Via Não Pavimentada;;;400;PASSARINHO
78913;1TR CORREGO DO CARROCEIRO;1ª Travessa Córrego do Carroceiro;1Tr Corrego do Carroceiro;X;Não definida;;;400;PASSARINHO
78948;RUA DA BETA;Rua da Beta;R. da Beta;P;Via Parcialmente Pavimentada;;;400;PASSARINHO
78956;RUA DA UNIAO;Rua da União;R. da Uniao;P;Via Parcialmente Pavimentada;;;400;PASSARINHO
78980;RUA PARANAPOEMA;Rua Paranapoema;R. Paranapoema;X;Não definida;;;906;SANCHO
79006;RUA PALMEIRINHA;Rua Palmeirinha;R. Palmeirinha;X;Não definida;;;906;SANCHO
79022;RUA S D 7902;Rua S D 7902;R. S D 7902;X;Não definida;;;434;CASA AMARELA
79049;TRV MAESTRO ALCIDES LEAO;Travessa Maestro Alcides Leão;Trv Maestro Alcides Leao;S;Via Pavimentada;;;647;MADALENA
79057;TRV PADRE LANDIM;Travessa Padre Landim;Trv Padre Landim;S;Via Pavimentada;;;647;MADALENA
79073;RUA PROFESSORA MARIA EUGENIA VASCONCELOS LIMA;Rua Professora Maria Eugênia Vasconcelos Lima;R. Profa Maria Eugenia Vasconcelos Lima;S;Via Pavimentada;;;850;AREIAS
79090;TRV CONS THEODORO;Travessa Conselheiro Theodoro;Trv Cons Theodoro;N;Via Não Pavimentada;;;671;ZUMBI
79111;2TR BEZINHA;2ª Travessa Bezinha;2Tr Bezinha;N;Via Não Pavimentada;;;825;JIQUIA
79120;RUA BEZINHA;Rua Bezinha;R. Bezinha;S;Via Pavimentada;;;825;JIQUIA
79138;RUA UDU;Rua Udu;R. Udu;N;Via Não Pavimentada;;;400;PASSARINHO
79154;PTE PROFESSOR ESTEVAO FRANCISCO DA COSTA;Ponte Professor Estevão Francisco da Costa;Pte Prof Estevão Francisco da Costa;S;Via Pavimentada;;;680;CORDEIRO
79162;RUA ARA;Rua Ara;R. Ara;X;Não definida;;;400;PASSARINHO
79170;LGO DO MERCADO DO CORDEIRO;Largo do Mercado do Cordeiro;Lgo do Mercado do Cordeiro;S;Via Pavimentada;;;680;CORDEIRO
79669;PRC SEBASTIAO PONTES;Praça Sebastião Pontes;Prc. Sebastão Pontes;S;Via Pavimentada;;;850;AREIAS
79197;TRV BARRA LONGA;Travessa Barra Longa;Trv Barra Longa;N;Via Não Pavimentada;;;795;MANGUEIRA
79219;RUA BENICIO DIAS;Rua Benício Dias;R. Benicio Dias;S;Via Pavimentada;;;795;MANGUEIRA
79227;RUA BOCAIANA;Rua Bocaiana;R. Bocaiana;N;Via Não Pavimentada;;;779;AFOGADOS
79235;7TR CORREGO DA BICA;7ª Travessa Córrego da Bica;7Tr Córrego da Bica;N;Via Não Pavimentada;;;400;PASSARINHO
79260;RUA SUMARI;Rua Sumari;R. Sumari;P;Via Parcialmente Pavimentada;;;795;MANGUEIRA
79278;RUA DOM CAVITI;Rua Dom Caviti;R. Dom Caviti;X;Não definida;;;787;MUSTARDINHA
79294;RUA SENOLANDIA;Rua Senolandia;R. Senolandia;N;Via Não Pavimentada;;;884;COHAB
79308;TRV SARGENTO JOAO LOPES FILHO;Travessa Sargento João Lopes Filho;Trv Sgt João Lopes Filho;N;Via Não Pavimentada;;;884;COHAB
79316;2TR CORREGO DA BICA;2ª Travessa Córrego da Bica;2Tr Córrego da Bica;N;Via Não Pavimentada;;;400;PASSARINHO
79324;1TR BEZINHA;1ª Travessa Bezinha;1Tr Bezinha;N;Via Não Pavimentada;;;825;JIQUIA
79332;TRV DA CAPELA;Travessa da Capela;Trv da Capela;N;Via Não Pavimentada;;;868;JARDIM SAO PAULO
79359;RUA ROMEU BEZERRA PONTES;Rua Romeu Bezerra Pontes;R. Romeu Bezerra Pontes;N;Via Não Pavimentada;;;108;SANTO AMARO
79367;TRV SEVERINA SANTANA PEDROSA;Travessa Severina Santana Pedrosa;Trv Severina Santana Pedrosa;X;Não definida;;;108;SANTO AMARO
79383;2TR FATIMA TEIXEIRA;2ª Travessa Fátima Teixeira;2Tr Fátima Teixeira;N;Via Não Pavimentada;;;108;SANTO AMARO
79391;TRV EDUARDO CUSTODIO;Travessa Eduardo Custodio;Trv Eduardo Custodio;X;Não definida;;;701;TORROES
79405;1TR N S DA PENHA;1ª Travessa N S da Penha;1Tr N S da Penha;X;Não definida;;;701;TORROES
79413;TRV PADRE TEOFILO TWORZ;Travessa Padre Teófilo Tworz;Trv Padre Teofilo Tworz;N;Via Não Pavimentada;;;760;ILHA DO RETIRO
